city_id,period_start,wait_time,treat,commute,trips_pool,trips_express_pool,rider_cancellations,total_driver_payout_sr,total_matches_sr,total_double_matches_sr,revenue
Boston,2/19/18 7:00,2 mins,FALSE,TRUE,1417,3252,256,34459.41163,3365,1479,46041.85585
Boston,2/19/18 9:40,5 mins,TRUE,FALSE,1462,2364,201,29770.34982,2292,1279,32174.38133
Boston,2/19/18 12:20,2 mins,FALSE,FALSE,1360,2189,115,27446.36736,2288,957,31042.59758
Boston,2/19/18 15:00,5 mins,TRUE,TRUE,1977,3580,356,44992.45299,4040,2029,53747.43785
Boston,2/19/18 17:40,2 mins,FALSE,FALSE,1368,2575,187,27582.9553,2193,975,32799.79836
Boston,2/19/18 20:20,5 mins,TRUE,FALSE,1404,2027,133,23892.11085,2070,1069,29291.31126
Boston,2/19/18 23:00,2 mins,FALSE,FALSE,1217,2546,103,29639.90567,2608,1410,32417.94736
Boston,2/20/18 1:40,5 mins,TRUE,FALSE,1697,2015,157,25798.86992,1910,1285,32270.81866
Boston,2/20/18 4:20,2 mins,FALSE,FALSE,1238,2487,124,23237.94629,2629,1057,29613.33834
Boston,2/20/18 7:00,5 mins,TRUE,TRUE,1824,2539,276,34054.4739,2616,1558,43844.56684
Boston,2/20/18 9:40,2 mins,FALSE,FALSE,1593,2769,160,28056.3648,2717,856,36169.07659
Boston,2/20/18 12:20,5 mins,TRUE,FALSE,1627,2378,187,25955.4189,2482,1321,31597.04788
Boston,2/20/18 15:00,2 mins,FALSE,TRUE,1643,3296,232,39906.40151,3786,1973,50454.61501
Boston,2/20/18 17:40,5 mins,TRUE,FALSE,1180,1896,137,22033.73431,1886,1003,24997.93987
Boston,2/20/18 20:20,2 mins,FALSE,FALSE,1862,2306,157,33297.09273,2230,1138,36713.20855
Boston,2/20/18 23:00,5 mins,TRUE,FALSE,1142,2427,179,25052.18271,2216,1106,29256.34058
Boston,2/21/18 1:40,2 mins,FALSE,FALSE,1480,1958,124,25414.06091,1913,1120,29004.38563
Boston,2/21/18 4:20,5 mins,TRUE,FALSE,1566,2311,190,25104.44488,2123,1000,33096.86345
Boston,2/21/18 7:00,2 mins,FALSE,TRUE,1922,3463,247,44871.10585,3570,1812,52122.88294
Boston,2/21/18 9:40,5 mins,TRUE,FALSE,1671,2323,190,27625.13599,2351,1304,34171.71427
Boston,2/21/18 12:20,2 mins,FALSE,FALSE,1038,3193,176,29256.93547,3040,1613,32176.59282
Boston,2/21/18 15:00,5 mins,TRUE,TRUE,1742,3395,295,40461.01856,4109,1689,52160.23035
Boston,2/21/18 17:40,2 mins,FALSE,FALSE,1597,2247,150,30599.27649,2289,1489,32460.37557
Boston,2/21/18 20:20,5 mins,TRUE,FALSE,1400,1644,146,23986.18199,1739,762,25698.04645
