StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q13,Q10,Q11,Q21,Q22,Q25,Q26,Q14,Q15,Q16,Q17,Q27,Q28,Q29,Q30,Q19,Q20,Q23,Q24,Q31,Q34,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID31""}","{""ImportId"":""QID33""}",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/4/14 15:22,2021/4/14 15:30,IP Address,38.13.3.212,100,423,TRUE,2021/4/14 15:30,R_2AEae5UAGWT0bAi,,,,,42.34640503,-71.09750366,anonymous,EN,25,Female,Puerto Rico,No,Yes,,,,,,,,,Yes,"France (20%), Russia (11%), U.S(9%), Mexico(8%) and Turkey (6%)",Happy,Yes,Agree,"4/14/21, Leon Stefan, Bo Seong-Min, and Justino Tadeo",Sometimes,"To represent sentiment, gestures, etc",France,20%,Leon Tadeo,4/14/21,2,Type,0.75
2021/4/14 16:55,2021/4/14 17:00,IP Address,73.47.187.184,100,277,TRUE,2021/4/14 17:00,R_2cCu18WSBCNF8SP,,,,,42.27960205,-71.12819672,anonymous,EN,23,Male,United States,Yes,Yes,,,,,,,,,Yes,"France(20%),Russia(11%),U.S(9%),Mexico(8%),Turkey(6%)",Happy,No,Agree,"4/14/21 Leon Stefan, Bo Seong-Min,Justino Tadeo",Sometimes,I think people use the eyes emojis when you are prompting someone to answer a question.,France,20%,Bo Seong-Min,4/14/21,1,Type,1
2021/4/15 09:21,2021/4/15 09:27,IP Address,106.9.80.90,100,394,TRUE,2021/4/15 09:27,R_2QyoMhKq8PMAZk0,,,,,39.92849731,116.3850098,anonymous,EN,24,Male,China,No,Yes,,,,,,,,,Yes,France??0%??ussia??1%??S??%??exico??%??urkey??%??Happy,No,,Agree,4/14/21Leon Bo Justino,Sometimes,Saw it,France,20%,Bo Seong-Min,4/14/21,3,Type,1
2021/4/15 17:43,2021/4/15 17:52,IP Address,188.166.179.151,63,541,FALSE,2021/4/15 18:52,R_1In5blW2yFxnRrB,,,,,,,anonymous,EN,26,Female,China,No,Yes,,,,,,,,,Yes,"France20%, Russia 11%,US9%,Mexico8%,Turkey6%",Happy,No,,,,,,,,,,,
2021/4/15 18:07,2021/4/15 19:05,IP Address,73.100.145.217,100,3424,TRUE,2021/4/15 19:05,R_2r7U1p44GFi6Zhf,,,,,42.24630737,-70.99720001,anonymous,EN,25,Male,China,No,Yes,,,,,,,,,Yes,"France 20%, Russia 11%, U.S. 9%, Mexico 8%, Turkey 6%",Happy,Yes,Strongly Agree,"4/14/21, Bo Seong-Ming, Leon Stefan, Justino Tadeo",All the time,It?? a good representation. I would interpret as looking for opinions.,France,20%,Bo Seong-Min,4/14/21,3,Type,1
2021/4/15 19:19,2021/4/15 19:26,IP Address,188.166.186.5,78,438,FALSE,2021/4/15 20:26,R_2zGz33p6lRb0UEh,,,,,,,anonymous,EN,???,Male,?????Yes,Yes,No,?????Happy,Yes,Agree,???,All the time,?????,,,,,,,,,,,,,,,,,
2021/4/16 05:05,2021/4/16 05:15,IP Address,5.77.252.216,100,630,TRUE,2021/4/16 05:15,R_ueukIgaXbikpNxT,,,,,40.00079346,44.998703,anonymous,EN,25,Female,Iran,No,Yes,,,,,,,,,Yes,"France (20%), Russia (11%), US(9%), Mexico(8%), Turkey(6%)",Happy,No,Strongly Agree,"Leon, Justino, Bo",Sometimes,emojis help thee reader to understand better what the writer meant,France,20%,Leon Tadeo,4/14/21,1,Type,0.75
2021/4/15 19:05,2021/4/16 09:07,IP Address,80.251.211.10,100,50527,TRUE,2021/4/16 09:07,R_Zr5wG4S8uV6wUEx,,,,,34.05839539,-118.2779999,anonymous,EN,24,Male,CHINA,No,Yes,,,,,,,,,Yes,"France, Russia, US, Mexico Turkey",Happy,Yes,Agree,"4/14/21, Leon Stefan, Bo Seong-Min, Justino Tadeo",Sometimes,"peek, suspicious ",France,20%,Bo Seong-Min,4/14/21,2,Type,1
